State,prop_2000,prop_2019,pop_2000,pop_2019,observed_2000,observed_2019,expected_2019,diff
North Dakota,0.0022612846080871224,0.002308728506676031,618706,730805,0.4161992933638918,0.4354540540910366,0.4494319350542963,-0.013977880963259751
Ohio,0.04039940762739216,0.03581967455023398,11053609,11338361,0.40240205710189314,0.41244029891092726,0.43121587030098607,-0.01877557139005876
Oklahoma,0.012197218727311878,0.012076845230894237,3337259,3822805,0.4026373140352606,0.38716152144825594,0.4207778045841269,-0.03361628313587093
Oregon,0.01223394277353425,0.012758597858746676,3347307,4038607,0.3990204663032103,0.399084139655084,0.42638179396261033,-0.027297654307526304
Pennsylvania,0.04327988056059505,0.03906237022771028,11841730,12364804,0.40374945214930585,0.4086404442803946,0.430655145517106,-0.02201470123671139
Rhode Island,0.0036898529300264564,0.003208917959489446,1009574,1015751,0.405571062646225,0.40410395854889636,0.4339711780997529,-0.029867219550856517
South Carolina,0.014175405089748865,0.015428152762503335,3878507,4883628,0.39634684170996726,0.393531407388114,0.4249118761602594,-0.03138046877214546
South Dakota,0.0026511559714064853,0.0026428126307713735,725378,836556,0.40086547979122605,0.4116401053844572,0.426133371141069,-0.014493265756611784
Tennessee,0.02024775244761949,0.0206947219826229,5539951,6550708,0.40311656186128714,0.39646645828206667,0.42537205950240076,-0.02890560122033414
Texas,0.07413872234345906,0.08737904855346038,20284962,27658967,0.36477835156900956,0.3504008663808739,0.379511312888786,-0.029110446507912103
Utah,0.00800221279921824,0.00963301848890305,2189471,3049236,0.32000560866072214,0.3205101212238082,0.34292150962892354,-0.022411388405115362
Vermont,0.002147490501883542,0.0018920166034985641,587571,598899,0.4105257066805543,0.43421177861375626,0.4597682955694379,-0.025556516955681632
Virginia,0.025029794886077882,0.025931920510250527,6848357,8208491,0.3940952552561147,0.3838477742133116,0.41282735908043666,-0.02897958486712507
Washington,0.02104173816869776,0.02291953693288603,5757192,7254951,0.3944848460846885,0.39259162467120734,0.41982263761013605,-0.027231012938928722
West Virginia,0.006453808885366171,0.005591087413606584,1765815,1769803,0.4158646290806228,0.41394833210249954,0.44718140997745387,-0.033233077874954366
Wisconsin,0.019009024930704287,0.017825972685654036,5201025,5642634,0.400776385424027,0.41785875178152615,0.42941592273308304,-0.011557170951556854
Wyoming,0.0017533941189151884,0.0017905033775285433,479743,566766,0.40428312659069543,0.40590825843469797,0.43706876349069534,-0.031160505055997403
